0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:00:41 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:01:26 +0530] "GET /Project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:01:30 +0530] "POST /Project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:01:34 +0530] "POST /Project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:01:36 +0530] "POST /Project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:01:50 +0530] "GET /Project_4/ctl/GetMarksheetCtl HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:01:56 +0530] "GET /Project_4/ctl/MyProfileCtl HTTP/1.1" 200 5510
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:01:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:01:58 +0530] "GET /Project_4/js/calendar.js HTTP/1.1" 404 957
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:02:03 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:06:49 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:06:49 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:06:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:06:49 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:09:49 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:09:49 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:09:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:09:49 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:10:04 +0530] "GET /Project_4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:10:04 +0530] "GET /Project_4/ HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:10:08 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:10:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:10:08 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:14:51 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:15:04 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:15:04 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:21:29 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:23:26 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 2870
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:28:02 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:28:02 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:28:16 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:28:31 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 2868
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:29:17 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 2875
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:48:05 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:48:05 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:48:09 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:48:10 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:48:10 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:48:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:48:11 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:53:49 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 6049
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:53:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:53:49 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:55:32 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:55:32 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 5850
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:55:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:55:32 +0530] "GET /js/HTMLCalender.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:07:03 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:07:06 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:07:27 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [27/Apr/2023:16:05:48 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [27/Apr/2023:16:05:52 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [27/Apr/2023:16:06:13 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:16:06:13 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3023
